date,garbage
2021-04-28,3;4
2021-04-30,0
2021-05-03,4
2021-05-05,2;3
2021-05-07,1;5
2021-05-08,4
2021-05-12,3;4
2021-05-13,2
2021-05-14,0
2021-05-15,4
2021-05-19,3;4
2021-05-20,2
2021-05-21,1;5
2021-05-22,4
2021-05-26,3;4
2021-05-27,2
2021-05-28,0
2021-05-29,4
